,Compoundid,phytochemical
2450,"[Compound(14900), Compound(3084463)]",glycerol monopalmitate
2451,[],hergapen
2452,[Compound(10469)],hexacosanoic acid
2453,[Compound(114829)],liquiritigenin
2454,[Compound(64945)],ursolic acid
2455,"[Compound(443013), Compound(4865)]",lignans
2456,[Compound(54678486)],coumarins
2457,[Compound(637579)],glycosides
2458,[],reducing sugars
2459,[],sterols
2460,[Compound(188957)],ismine
2461,[Compound(10912617)],O-methylismine
2462,[Compound(11807483)],vittacarboline
2463,[],19-alpha-hydroxyursolic acid
2464,[],1-O-hexadecanolenin
2465,[Compound(16105266)],2-O-caffeoyl maslinic acid
2466,[],2-O-trans-p-coumaroyl maslinic acid
2467,[],3-O-caffeoyl oleanolic acid
2468,[],3-O-trans-p-coumaroyl oleanolic acid
2469,[],5-hydroxymethyl-2-furancarbox-aldehyde
2470,[Compound(29052)],6-methoxy-2H-1-benzopyran
2471,[Compound(222284)],beta-sitosterol
2472,[Compound(12366272)],cirsiumaldehyde
2473,"[Compound(101051955), Compound(126970008), Compound(138113960)]",dulcioic acid
2474,[],hippophae cerebroside
2475,[Compound(10470)],octacosanoic acid
2476,[Compound(10494)],oleanolic acid
2477,[Compound(10494)],oleanolic acid
2478,[Compound(985)],palmitic acid
2479,[Compound(64945)],ursolic acid
2480,[],hippophin C
2481,[],hippophin D
2482,[],hippophin E
2483,[],hippophin F
2484,[],hippophins K
2485,[],hippophins L
2486,[],hippophins M
2487,[],alkaloids
2488,[],Alkaloids
2489,[Compound(64971)],betulinic acid
2490,[Compound(3084961)],oroxindin
2491,[Compound(5281703)],wogonin
2492,[Compound(6549)],linalool
2493,[Compound(10812)],M-cymene
2494,"[Compound(92231), Compound(522266), Compound(13854258)]",spatulenol
2495,[Compound(11230)],terpene-4-ol
2496,[Compound(3084331)],T-muurolol
2497,[Compound(11996452)],viridiflorol
2498,[],?-cadinol
2499,[],?-selinene
2500,[],?-Muurolene
2501,[],?-cadinene
2502,[],(1H)-quinolinone
2503,[],"(E)-4-Hydroxy-4-[3'-(beta-D-glucopyranosyloxy) butylidene]-3, 5, 5-trimethyl-2-cyclohexen-1-one"
2504,[],"2-(3, 4-dihydroxyphenyl) ethyl-beta-D-glucopyranoside"
2505,[],"3,4-dimethoxy-N-methyl aristolactam"
2506,[],4-(beta-D-glucopyranosyloxy)-3-hydroxy-Benzoic acid
2507,[Compound(354088)],4-hydroxy-3-methoxybenzamide
2508,[Compound(65052)],4-hydroxybenzamide
2509,[],"6-(9-hydroxy-but-7-ethyl)-1,1,5-trimethylcyclohexane-3,5,6-triol"
2510,[],"6,7-dimethyl-1-ribitol-1-yl-1,4-dihydroquinoxaline-2,3-dione"
2511,[],"7-(3,5,6-trihydroxy-2,6,6-trimethylcyclohexyl)-byt-3-en-2-one"
2512,[Compound(5316673)],afzelin
2513,[],aristolactam A
2514,[Compound(148657)],aristolactam A II
2515,[],aristolactam B
2516,[],aristolactam B II
2517,[Compound(2331)],benzamide
2518,[],benzyl-b-D-glucopyranoside
2519,[Compound(222284)],b-sitosterol
2520,[],b-sitosteryl glucoside
2521,[Compound(189151)],cepharadione B
2522,[Compound(189151)],Cepharadione B
2523,[],chlorogenic methyl ester
2524,[],Cis-methyl ferulate
2525,[Compound(688492)],dehydrovomifoliol
2526,[],Houttuynoids A
2527,[],Houttuynoids B
2528,[],Houttuynoids C
2529,[],Houttuynoids D
2530,[],Houttuynoids E
2531,[Compound(44521323)],houttuynoside A
2532,[],houttuynoside B
2533,[Compound(5281643)],hyperoside
2534,[Compound(5281643)],hyperoside
2535,[Compound(69867)],indole-3-carboxylic acid
2536,[Compound(122691)],lysicamine
2537,[Compound(19844)],methyl vanillate
2538,[Compound(7456)],methylparaben
2539,[Compound(100005)],N-(1-hydroxymethyl-2-phenylethyl)benzamide
2540,[],N-(4-hy-droxyphenylethyl)benzamide
2541,[],noraritolodione
2542,[Compound(189168)],norcepharadione B
2543,[Compound(189168)],norcepharadione B
2544,[Compound(126)],p-hydroxybenzaldehyde
2545,[],p-hydroxyphenethyl-beta-D-glucoside
2546,[Compound(3081016)],piperolactam A
2547,[Compound(3081016)],piperolactam A
2548,[Compound(72)],protocatechuic acid
2549,[Compound(5280343)],quercetin
2550,[Compound(5280343)],quercetin
2551,[],quercetin-3-O-b-D-galactopyranoside
2552,[Compound(5280804)],quercetin-3-O-beta-D-galactopyranoside
2553,[Compound(5280459)],quercitrin
2554,[Compound(5280459)],quercitrin
2555,[Compound(5280459)],quercitrin
2556,[],reseoside
2557,[Compound(5280805)],rutin
2558,[Compound(196452)],splendidine
2559,[Compound(196452)],splendidine
2560,[],trans-methyl ferulate
2561,[Compound(8468)],vanillic acid
2562,[Compound(1183)],vanillin
2563,"[Compound(5280462), Compound(5280654), Compound(440244), Compound(11816951), Compound(137705650)]",vomifoliol
2564,"[Compound(19725), Compound(70678558), Compound(442355), Compound(25245021), Compound(92042749)]",alpha-copaene
2565,[Compound(5281515)],beta-caryophyllene
2566,[Compound(442393)],beta-selinene
2567,"[Compound(13894537), Compound(5315347), Compound(11820258), Compound(13894533), Compound(21159022), Compound(44583886)]",bicyclogermacrene
2568,[Compound(91723653)],germacrene-D
2569,"[Compound(92231), Compound(522266), Compound(6432640), Compound(13854255), Compound(97032059)]",spathulenol
2570,[Compound(73891071)],"1,3,7-trihydroxy-2-(2-hydroxy-3-methyl-3-butenyl)-xanthone"
2571,[Compound(91300928)],"1,3,7-trihydroxy-5-methoxyxanthone"
2572,[Compound(90852378)],"1,3-dihydroxy-2,4-dimethoxyxanthone"
2573,[],"1,7-dihydroxy-2,3-[2''-(1-hydroxy-1-methylethyl)-dihydrofurano]-xanthone"
2574,[Compound(90993927)],"1,7-dihydroxy-5,6-dimethoxyxanthone"
2575,[Compound(91075024)],"4,5-dihydroxy-2,3-dimethoxyxanthone"
2576,[Compound(50899947)],aspidinol C
2577,[Compound(50908690)],aspidinol D
2578,[Compound(44513408)],chinexanthone A
2579,[Compound(50899948)],hyperaspidinol A
2580,[Compound(50899949)],hyperaspidinol B
2581,[],hyperiones A
2582,[],hyperiones B
2583,[],-O-demethylkielcorin
2584,[],4-geranyloxy-1-(2-methylbutanoyl)-phloroglucinol
2585,[],4-geranyloxy-1-(2-methylpropanoyl)- phloroglucinol
2586,[],"4-geranyloxy-2,6-dihydroxybenzophenone"
2587,[],"1,3,7-trihydroxy-8-(3-methyl-2-butenyl)-9H-xanthen-9-one"
2588,[Compound(9916414)],"1,4,5-trihydroxy-9H-xanthen-9-one"
2589,[Compound(10061042)],"1,6-dihydroxy-4-methoxy-9H-xanthen-9-one"
2590,[Compound(75983512)],elliptophenone A
2591,[Compound(53231634)],elliptoxanthone A
2592,[Compound(101794293)],elliptoxanthone B
2593,[],3-methyl-but-2-en-1-yl beta-D: -glucopyranosyl (1 --> 6)-beta-D: -glucopyranoside
2594,[],"4,6-dihydroxy-2-methoxyphenyl 1-O-beta-D: -glucopyranoside"
2595,[],"4-hydroxy-2,6-dimethoxyphenyl 1-O-alpha-L: -rhamnopyranosyl (1 --> 6)-beta-D: -glucopyranoside"
2596,[],quercetin 3-O-(2''-acetyl)-beta-D: -glucopyranoside
2597,[],quercetin 3'-O-beta-D: -galactopyranoside 
2598,[Compound(5281635)],"1,3,7-trihydroxyxanthone"
2599,[Compound(12026489)],"1,3-dihydroxy-5-methoxyxanthone"
2600,[Compound(46209537)],"3,4,5-trihydroxyxanthone"
2601,[Compound(378690)],"4-hydroxy-2,3-dimethoxyxanthone"
2602,[],hypericorin A
2603,[],hypericorin B
2604,[Compound(13834128)],kielcorin
2605,"[Compound(11811708), Compound(101117445)]",papuaforin A
2606,[Compound(101117446)],papuaforin B
2607,"[Compound(10993623), Compound(101117447)]",papuaforin C
2608,"[Compound(11038341), Compound(101117448)]",papuaforin D
2609,"[Compound(11027256), Compound(101117449)]",papuaforin E
2610,[],prenylated phloroglucinol
2611,[Compound(44559121)],prolifenone A
2612,[Compound(44559122)],prolifenone B
2613,[Compound(11995285)],prolificin A
2614,[],"1,3-dihydroxy-5-methoxyxanthone-4-sulfonate"
2615,[],"1,3-dihydroxy-5-O-beta-D-glycopyranosylxanthone-4-sulfonate"
2616,[],hyperibones A
2617,[],hyperibones B
2618,[],hyperibones C
2619,[],hyperibones D
2620,[],hyperibones E
2621,[],hyperibones F
2622,[],hyperibones G
2623,[],hyperibones H
2624,[],hyperibones I
2625,[],Alkaloids
2626,[Compound(442840)],acutumidine
2627,"[Compound(10200848), Compound(176893), Compound(101286230), Compound(44144274)]",acutumine
2628,"[Compound(4485347), Compound(10000052)]",dauricumidine
2629,"[Compound(11741544), Compound(101106309)]",dauricumine
2630,[Compound(5317068)],dechloroacutumine
2631,"[Compound(65631), Compound(442245), Compound(73426)]",glaziovine
2632,[],hypserpanines A
2633,[],hypserpanines B
2634,"[Compound(37834), Compound(12305611), Compound(133561790)]",laurifoline
2635,[Compound(73337)],magnoflorine
2636,[Compound(200480)],pronuciferine
2637,[Compound(439653)],S-reticuline
2638,[Compound(44178664)],Brevipolide A
2639,[Compound(44178755)],Brevipolide B
2640,[Compound(44178667)],Brevipolide C
2641,[Compound(44178665)],Brevipolide D
2642,[Compound(44178668)],Brevipolide E
2643,[Compound(44178756)],Brevipolide F
2644,[Compound(71522010)],Brevipolide G
2645,"[Compound(71521993), Compound(102340541)]",Brevipolide H
2646,[Compound(71522009)],Brevipolide I
2647,[Compound(71521916)],Brevipolide J
2648,[Compound(2758)],"1,8-cineol"
2649,[],bomeol
2650,[Compound(7463)],p-cimene
2651,[Compound(2758)],"1,8-cineole"
2652,[Compound(6654)],alpha-pinene
2653,[Compound(5281515)],beta-caryophyllene
2654,"[Compound(13894537), Compound(5315347), Compound(11820258), Compound(13894533), Compound(21159022), Compound(44583886)]",bicyclogermacrene
2655,[Compound(26049)],Delta-3-carene
2656,"[Compound(5281519), Compound(6370843), Compound(177602), Compound(5371080)]",germacrene B
2657,[Compound(10910653)],viridiflorene
2658,[Compound(10041041)],Pectinolide A
2659,[Compound(10400831)],Pectinolide B
2660,[Compound(10038670)],Pectinolide C
2661,[Compound(101267304)],Pectinolide D
2662,[Compound(101267305)],Pectinolide E
2663,[Compound(101267306)],Pectinolide F
2664,[Compound(643724)],Pectinolide G
2665,[Compound(11149842)],Pectinolide H
2666,[Compound(10453)],"3,7,11,15-tetramethylhexadec-1-en-3-ol"
2667,"[Compound(5366244), Compound(5280435), Compound(145386), Compound(5320547)]","3,7,11,15-tetramethylhexadec-2-en-1-ol"
2668,[Compound(10638889)],"7,11,15-trimethyl-3-methylenehexadecane-1,2-diol"
2669,[Compound(636442)],aromadendr-1(10)-en-9-one
2670,[],cadina-10(15)-en-3-one
2671,"[Compound(12067196), Compound(56842265), Compound(91746583)]","cadina-4,10(15)-dien-3-one"
2672,[Compound(892)],myo-inositol
2673,[],3 beta-hydroxyl-lup-20(29)-ene-24-methyl ester
2674,[Compound(222284)],beta-sitosterol
2675,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
2676,[],"lup-20(29)-ene-3 beta-, 24-diol"
2677,[Compound(259846)],lupeol
2678,[Compound(6251)],mannitol
2679,[Compound(64945)],ursolic acid
2680,[Compound(16216517)],oblonganoside A
2681,[Compound(16216518)],oblonganoside B
2682,[Compound(16216647)],oblonganoside C
2683,[],oblonganoside D
2684,"[Compound(16216648), Compound(76334083)]",oblonganoside E
2685,"[Compound(16216646), Compound(76330498)]",oblonganoside F
2686,[],"3beta, 23-dihydroxy-urs-12-en-28-oic acid"
2687,[],3beta-hydroxyurs-11-ene-13beta-olide
2688,[Compound(73170)],alpha-amyrin
2689,[],"lup-20 (29)-ene-3beta, 24-diol"
2690,[Compound(259846)],lupeol
2691,[Compound(382831)],pomolic acid
2692,[Compound(64945)],ursolic acid
2693,[Compound(92802)],uvaol
2694,[Compound(443332)],8-epideoxyloganic acid
2695,[Compound(222284)],beta-sitosterol
2696,[],beta-sitosterol 6'-O-acyl-beta-D-glucopyranoside
2697,[Compound(73659)],maslinic acid
2698,[Compound(10494)],oleanolic acid
2699,[Compound(638024)],piperin
2700,[Compound(155882)],plantarenaloside
2701,[Compound(64945)],ursolic acid
2702,[],incarvillosides A
2703,[],incarvillosides B
2704,[],incarvillosides C
2705,[],incarvillosides D
2706,[],"1-O-feruloyl-3-O-(26""-hydroxylhexacosoyl) glycerol"
2707,[],1-O-methyl-guaiacylglycerol
2708,[],"6'-8""E, 11""E-octadecadienoyl-clionasterol-3-glucoside"
2709,[Compound(5742590)],beta-daucosterol
2710,[Compound(222284)],beta-sitosterol
2711,[Compound(101938434)],incarvine D
2712,[Compound(5281718)],piceid
2713,[],Batatinoside I
2714,"[Compound(92156), Compound(345510), Compound(6708527), Compound(5318302), Compound(13019938), Compound(21141023)]",beta-amyrin acetate
2715,[Compound(689043)],caffeic acid
2716,"[Compound(3084296), Compound(9945189)]",citrusin C
2717,[Compound(5320237)],octadecyl caffeate
2718,[Compound(5280460)],scopoletin
2719,[],"1,2,3,4-tetrahydro-beta-carboline-3-carboylic acid"
2720,[Compound(5281780)],"3,4-di-O-caffeoylquinic acid"
2721,[Compound(5282102)],astragalin
2722,[],batatinoside I
2723,[],batatosides A
2724,[],batatosides B
2725,[],batatosides C
2726,[],batatosides D
2727,[],batatosides E
2728,[],batatosides F
2729,[],batatosides G
2730,"[Compound(689043), Compound(1549111)]",caffeicacid
2731,"[Compound(3084296), Compound(9945189)]",citrusin C
2732,[Compound(5280863)],kaempferol
2733,[Compound(5281691)],rhamnetin
2734,[Compound(5320946)],rhamnocitrin
2735,"[Compound(10011691), Compound(85092366)]",simonin IV
2736,[Compound(5320686)],tiliroside
2737,[Compound(23815394)],(-)-lariciresinol
2738,[],(+) -isolariciresinol
2739,[Compound(160521)],(+)-isolariciresinol
2740,[],"(E)-3-(3', 5'-dimethoxy-4'-hydroxybenzylidene) -2-indolinone"
2741,[],"10H-indolo [3, 2-b] quinoline"
2742,[],1-methoxy-3-indoleacetonitrile
2743,[Compound(398554)],1-methoxy-3-indolecarbaldehyde
2744,[],"2, 3-dihydropyrrolo [2, 1-b] quinazolin-9(1H) -one"
2745,[Compound(10256)],3-formylindole
2746,[],4 (3H)-quinazo-linone
2747,[],6-f-D-glucopyranosyldiosmetin
2748,[Compound(60961)],adenosine
2749,[Compound(243)],benzoic acid
2750,[Compound(68261)],deoxyvasicinone
2751,[Compound(3032313)],epigoitrin
2752,[Compound(10177)],indirubin
2753,[Compound(162350)],isovitexin
2754,[Compound(332427)],lariciresinol
2755,[],"lariciresinol-4,4'-bis-O-beta-D-glucopyranoside"
2756,[],lariciresinol-4'-O-beta-D-glucopyranoside
2757,[],lariciresinol-9-O-beta-D-glucopyranoside
2758,[],o-droxy-benzoic acid
2759,[Compound(11176927)],ixerochinolide
2760,[Compound(11158258)],ixerochinoside
2761,[],(Z)-3-hexen-1-ol-beta-D-glucopyranoside
2762,[Compound(10740895)],ixerin Z
2763,[],ixerin Z-6'-p-hydroxyphenylacetate
2764,[],alkaloids
2765,[Compound(54678486)],coumarins
2766,"[Compound(5281800), Compound(5459010), Compound(354009), Compound(90474101), Compound(45358104), Compound(10258386), Compound(132274946)]",Verbascoside
2767,[Compound(2758)],"1,8-cineole"
2768,"[Compound(64685), Compound(1201518), Compound(6552009), Compound(10492), Compound(657014), Compound(6321405), Compound(10049), Compound(44630107), Compound(439569)]",borneol
2769,"[Compound(6448), Compound(93009), Compound(442460), Compound(6950274), Compound(443131), Compound(3034424), Compound(12097317), Compound(44630108), Compound(57505377)]",bornyl acetate
2770,[Compound(2537)],Camphor
2771,[Compound(5315773)],centaureidin
2772,[Compound(110685)],chrysanthemol
2773,[],intermediol
2774,[],jasonin b
2775,[],jasonin-a
2776,[],jasonin-c
2777,[],(E)-3-hydroxy-5-methoxy-stilbene
2778,[],"3, 5-dihydroxy-4-methoxybenzaldehyde"
2779,[Compound(5280681)],3-O-methylquercetin
2780,[Compound(126)],4-hydroxybenzaldehyde
2781,[],"5, 3', 4'-trihydroxy-3,7-dimethoxyflavone"
2782,[],"5, 6, 7-trimethoxycoumarin"
2783,[],"5,4'-dihydroxy-3, 7, 3'-trimethoxyflavone"
2784,[Compound(441960)],cimifugin
2785,[Compound(5280536)],coniferaldehyde
2786,[Compound(69894)],isoscopoletin
2787,[Compound(12127)],isovanillin
2788,[],omega-hydroxypropioquaiacone
2789,[],tomentin
2790,[Compound(8468)],vanillic acid
2791,[Compound(6654)],alpha-pinene
2792,[Compound(14896)],beta-pinene
2793,[Compound(22311)],limonene
2794,[],mircene
2795,[Compound(18818)],sabinene
2796,[],ananosic acids B
2797,[],ananosic acids C
2798,[Compound(24970700)],kadcoccilactone A
2799,[Compound(24970757)],kadcoccilactone B
2800,[Compound(24970812)],kadcoccilactone C
2801,[Compound(24970758)],kadcoccilactone D
2802,"[Compound(24970759), Compound(138111885), Compound(145709616)]",kadcoccilactone E
2803,"[Compound(138112139), Compound(145709186)]",kadcoccilactone F
2804,[Compound(24970760)],kadcoccilactone G
2805,"[Compound(44567835), Compound(138113009), Compound(145709753)]",kadcoccilactone H
2806,"[Compound(44567836), Compound(138112737), Compound(145709410)]",kadcoccilactone I
2807,"[Compound(44567837), Compound(138112635), Compound(145709376)]",kadcoccilactone J
2808,"[Compound(24178896), Compound(138112181)]",kadlongilactone C
2809,[],kadlongilactone D
2810,"[Compound(24178993), Compound(138112181)]",kadlongilactone E
2811,"[Compound(138112267), Compound(145709229)]",kadlongilactone F
2812,[Compound(74708)],2-hydroxyxanthone
2813,[Compound(74708)],2-hydroxyxanthone
2814,[Compound(479656)],5-hydroxy-1-methoxyxanthone
2815,[Compound(25070689)],kayeassamin A
2816,[Compound(25070690)],kayeassamin B
2817,[Compound(44563535)],kayeassamin C
2818,[Compound(25141329)],kayeassamin D
2819,[Compound(25141330)],kayeassamin E
2820,[Compound(44546260)],kayeassamin F
2821,[Compound(25141331)],kayeassamin G
2822,[Compound(44546199)],kayeassamin H
2823,[Compound(44563556)],kayeassamin I
2824,[Compound(10429493)],theraphin A
2825,[Compound(10023167)],theraphin B
2826,[Compound(9977572)],theraphin C
2827,[Compound(101760261)],theraphin D
2828,[Compound(73058259)],kniphofione A
2829,[Compound(73053884)],kniphofione B
2830,[Compound(370)],gallic acid
2831,[Compound(5281643)],hyperoside
2832,[],"hyperoside-2""-O-acetyl"
2833,[],"hyperoside-2""-O-galloyl"
2834,[Compound(5280863)],kaempferol
2835,[],"kaempferol-3-O-(6""-acetyl)-beta-D-glucopyranoside"
2836,[],kaempferol-3-O-D-glucopyranoside
2837,[Compound(5280445)],luteolin
2838,[Compound(70699351)],sitosterol glucoside
2839,[Compound(11230)],4-terpineol
2840,[Compound(6616)],camphene
2841,[Compound(5281515)],caryophyllene
2842,[Compound(10694)],durenol
2843,[Compound(91746537)],L-alloaromadendrene
2844,[Compound(22311)],limonene
2845,[Compound(6549)],linalool
2846,[Compound(14104)],o-methylthymol
2847,"[Compound(92231), Compound(522266), Compound(6432640), Compound(13854255), Compound(97032059)]",spathulenol
2848,[Compound(6989)],thymol
2849,[Compound(68252)],thymol acetate
2850,[Compound(10910653)],viridiflorene
2851,[],?-pinene
2852,[],?-terpinene
2853,[],?-terpineol
2854,[],?-terpinolene
2855,[],?-pinene
2856,[],?-cymene
2857,[],cyanogenic glycosides
2858,[],sesquiterpene lactone
2859,[],1-(2-phenylcarbonyloxy acetyl) benzene
2860,[Compound(136322)],"1,4-diphenyl-1,4-butanedione"
2861,[],"2,2'-oxy-bis(1-phenylethanol"
2862,[Compound(5284421)],methyl linoleate
2863,[],p3-sitosterol
2864,[],P-daucosterol
2865,[Compound(65373)],(-)-secoisolariciresinol
2866,[Compound(160521)],(+)-isolariciresinol
2867,[Compound(332427)],(+)-lariciresinol
2868,[],(+)-lariciresinol 9'-p-coumarate
2869,[],"24R,5alpha-stigmast-3,6-dione"
2870,[Compound(222284)],beta-sitosterol
2871,[Compound(101928787)],ehletianol C
2872,[Compound(445858)],ferulic acid
2873,[],isolariciresino
2874,[Compound(442048)],isopimaric acid
2875,[Compound(332427)],lariciresinol
2876,"[Compound(6708759), Compound(11335788), Compound(518935)]",larixol
2877,[],secroisolariciresinol
2878,[Compound(101767126)],sesquipinsapol B
2879,[Compound(70698172)],vladinol D
2880,"[Compound(442343), Compound(1549992), Compound(10586), Compound(1201551), Compound(6506009)]",alpha-bisabolol
2881,[Compound(6654)],alpha-pinene
2882,[],(-)-pinoresinol 4-O-beta-D-glucopyranoside
2883,[Compound(84298)],asperuloside
2884,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
2885,[],isoscopletin
2886,[],isoscopletin-6-O-beta-D-glucopyranoside
2887,[Compound(44203495)],delaumonone A
2888,[Compound(44203496)],delaumonone B
2889,[],Alkaloids
2890,[],Alkaloid
2891,[],flavonoids
2892,[],"2-oxo-3-hydroxy-eremophila-1(10),3,7(11),8-tetraen-8,12-olide"
2893,[],"4-hydroxy-2,5-dimethoxy-benzaldehyde"
2894,[],6-angeloyloxy-furanoligularenone
2895,[Compound(10748)],7-methoxy-coumarin
2896,[Compound(222284)],beta-sitosterol
2897,[Compound(689043)],caffeic acid
2898,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
2899,[Compound(3220)],emodin
2900,[Compound(445858)],ferulic acid
2901,[Compound(259846)],lupeol
2902,[Compound(10494)],oleanolic acid
2903,[Compound(125468)],tiglic acid
2904,[Compound(14190077)],1-oxo-9-desoxycacalol
2905,[],"1p, 10P3-epoxy-6beta, 8 beta-dihydroxy-eremophil7 (11) -en-12, 8alpha-olide"
2906,[],"3p, 16P3-dihydroxy-12-oleanen-28-al"
2907,[],"7alpha-hydroxy-9(10) -ene-1, 8-dioxo-6, 7-dihydrofuranoeremophilane"
2908,[Compound(442173)],bakkenolide
2909,[],benzofuranoeremophil-l-ene
2910,[Compound(259846)],lupeol
2911,[],"(4S)-p-menth-1-ene4, 7-diol"
2912,[],"3(R), 8(S), 9(Z)-falcarindiol"
2913,[],"4,5-dihydro-3-butylphthalide"
2914,[Compound(11074544)],4-hydroxy-3-butylphthalide
2915,[],4-hydroxyl-3-butylphthalide
2916,[],"aromadendrane-4alpha, 10beta-diol"
2917,[],"aromadendrane-4beta, 10alpha-diol"
2918,[],"aromadendrane-4beta, 10beta-diol"
2919,[Compound(15560128)],augustic acid
2920,[Compound(445858)],ferulic acid
2921,[Compound(5319022)],Ligustilide
2922,[Compound(8955)],pregnenolone
2923,[Compound(11241196)],senkyunolide F
2924,"[Compound(11521428), Compound(3025856), Compound(13965087), Compound(6433088), Compound(10036566), Compound(92448114), Compound(131954670)]",senkyunolide I
2925,[],Xiongterpene
2926,[],xiongterpene
2927,[],"Z, Z'-6,6',7,3 alpha-diligustili-de"
2928,[],"Z'-3,8-dihydro-6,6'7,3' alpha-diligustilide"
2929,[],"Z-6,8',7,3'-diligustilide"
2930,[Compound(445858)],ferulic acid
2931,[Compound(70698035)],levistolide A
2932,[Compound(5319022)],ligustilide
2933,[Compound(90694767)],pleuchiol
2934,[Compound(222284)],beta-sitosterol
2935,[Compound(222284)],beta-sitosterol
2936,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
2937,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
2938,[Compound(445858)],ferulic acid
2939,[],"kaempferol-3-O-(2"",4""-di-E-p-coumaroyl)-alpha-L-rhamnoside"
2940,[Compound(5282149)],kaempferol-3-O-beta-D-galactoside
2941,[Compound(70698035)],levistolide A
2942,[Compound(5280450)],linoleic acid
2943,[Compound(6199)],psoralen
2944,[],quercetin-3-O-beta-D-galactoside
2945,[Compound(5988)],sucrose
2946,[Compound(5988)],sucrose
2947,[],xiongterpene
2948,[],"(Z, Z, Z)-9, 12, 15-Octadecatrienoic acid, ethyl ester"
2949,[Compound(985)],n-Hexadecanoic acid
2950,"[Compound(5280435), Compound(5366244), Compound(145386), Compound(5320547), Compound(9018)]",Phytol
2951,[Compound(10154)],boldine
2952,"[Compound(133323), Compound(98369)]",isoboldine
2953,[Compound(31415)],laurotetanine
2954,[Compound(53266)],magnocurarine
2955,[],N-ethoxycarbonyllaurotetanine
2956,[Compound(16573)],N-methyllaurotetanine
2957,"[Compound(22179), Compound(628557)]",norboldine
2958,[Compound(8103)],1-hexanol
2959,[Compound(10408)],"6,10,14-trimethyl-2-pentadecanone"
2960,[Compound(2969)],decanoic acid
2961,[Compound(5362830)],geranyl isovalerate
2962,"[Compound(5317570), Compound(6436582), Compound(5373727), Compound(91104), Compound(49796490), Compound(91723653)]",germacrene D
2963,[Compound(3893)],lauric acid
2964,[],25 (S) -ruscogenin 1-O-beta-D-xylopyranoside-3-O-alpha-L-rhamnopyranoside
2965,[],beta-sitosterol-3-O-beta-D-glucopyranosile
2966,[Compound(99474)],diosgenin
2967,[],LP-A
2968,[],LP-B
2969,[],LP-C
2970,[],LP-D
2971,[Compound(92158)],lupenone
2972,[Compound(259846)],lupeol
2973,[Compound(985)],palmic acid
2974,[Compound(441893)],ruscogenin
2975,[Compound(64945)],ursolic acid
2976,[],(Z)-5-(trideca-4-enyl)resorcinol
2977,[Compound(643751)],"(Z,Z)-5-(trideca-4,7-dienyl)resorcinol"
2978,[],"(Z,Z,E)-5-(trideca-4,7,10-trienyl)resorcinol"
2979,[],"(Z,Z,Z)-5-(trideca-4,7,10-trienyl)resorcinol"
2980,[],5-alkyl resorcinol
2981,"[Compound(5316874), Compound(238778)]","3,5-dimethoxystilbene"
2982,[],chiricanines A
2983,[],chiricanines B
2984,[],chiricanines C
2985,[],chiricanines D
2986,[],chiricanines E
2987,[Compound(6446720)],longistyline C
2988,[Compound(18546463)],longistyline D
2989,[Compound(222284)],beta-sitosterol
2990,[Compound(1794427)],chlorogenic acid
2991,[Compound(5282152)],lonicerin
2992,[],luteilin-7-O-beta-D-galactoside
2993,[Compound(5280343)],quercetin
2994,[Compound(5280805)],rutin
2995,[Compound(26519)],tetratriacontane
2996,"[Compound(74399180), Compound(102004657)]",7-O-ethyl-morroniside
2997,[Compound(222284)],beta-sitosterol
2998,[Compound(689043)],caffeic acid
2999,[Compound(1794427)],chlorogenic acid
3000,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol 
3001,[Compound(89640)],loganic acid
3002,[Compound(87691)],loganin
3003,"[Compound(11228693), Compound(11304302), Compound(56843478), Compound(12312977), Compound(25178022), Compound(102004523), Compound(138107798), Compound(122173151)]",morroniside
3004,[Compound(5280460)],scopoletin
3005,[],"3,5-O-dicaffeoylquinic acid"
3006,[Compound(222284)],beta-sitosterol
3007,[Compound(689043)],caffeic acid
3008,[Compound(1794427)],chlorogenic acid
3009,[Compound(5280445)],luteolin
3010,[Compound(12409)],nonacosane
3011,[Compound(243696)],nonacosanol
3012,[Compound(985)],palmitic acid
3013,[Compound(5280343)],quercetin
3014,[],casuarinines A
3015,[],casuarinines B
3016,[],casuarinines C
3017,[],casuarinines D
3018,[],casuarinines E
3019,[],casuarinines F
3020,[],casuarinines G
3021,[],casuarinines H
3022,[],casuarinines I
3023,[],casuarinines J
3024,[Compound(102148279)],carinatumin A
3025,[Compound(102148280)],carinatumin B
3026,[Compound(44428321)],carinatumin C
3027,[Compound(25258213)],Lycojapodine A
3028,[],lycobscurine A
