"","chemicals"
"1785","(+)-10,11-dioxoepierythratidine"
"1786","(+)-10,11-dioxoerythratidinone"
"1787","(+)-10,11-dioxoerythratine"
"1788","1-methoxyerythrabyssin II"
"1789","5-hydroxysophoranone"
"1790","abyssinone V"
"1791","erybraedin A"
"1792","erycristagallin"
"1793","erystagallin A"
"1794","erythrabissin-1"
"1795","erythrabyssin II"
"1796","eryvarin A"
"1797","hydroxycristacarpone"
"1798","lespedezaflavanone B"
"1799","sophoradiol"
"1800","soyasapogenol B"
"1801","vogelin C"
"1802","erythrodiol"
"1803","eryvarin A"
"1804","eryvarin B"
"1805","eryvarin F"
"1806","eryvarin G"
"1807","eryvarin M"
"1808","eryvarin N"
"1809","eryvarin O"
"1810","eryvarin P"
"1811","eryvarin Q"
"1812","eryvarin R"
"1813","isoerysenegalensein E"
"1814","laburnetin"
"1815","lupiwighteone"
"1816","wighteone"
"1817","carpachromene"
"1818","erythrivarone C"
"1819","euchrenone b10"
"1820","salvigenin"
"1821","scandenone"
"1822","vogelin H"
"1823","vogelin I"
"1824","vogelin J"
"1825","Alkaloids"
"1826","Leucoanthocyanin"
"1827","cypellocarpins A"
"1828","cypellocarpins B"
"1829","cypellocarpins C"
"1830","eucalmaidin A"
"1831","eucalmaidin B"
"1832","eucalmaidin C"
"1833","eucalmaidin D"
"1834","eucalmaidin E"
"1835","Alkaloids"
"1836","(-)epicatechin"
"1837","caffeic acid"
"1838","catechin"
"1839","chlorogenic acid"
"1840","n-octacosanoic acid"
"1841","rutin"
"1842","tetracosanoic-2, 3-dihydroxypropylester"
"1843","euodionoside A"
"1844","euodionoside B"
"1845","euodionoside C"
"1846","euodionoside D"
"1847","euodionoside E"
"1848","euodionoside F"
"1849","euodionoside G"
"1850","3,15-dihydroxy-ent-labd-7-en-17-oic acid 3-O-beta-D-glucoside"
"1851","(24R)-24-ethylcholesta-4,22-dien-3-one"
"1852","3beta-[(2E,4E)-6-oxo-decadienoyloxy]-olean-12-ene"
"1853","acetylaleuritolic acid"
"1854","beta-amyrin acetate"
"1855","beta-sitostenone"
"1856","beta-sitosterol"
"1857","cycloart-22-ene-3beta, 25-diol"
"1858","taraxerol"
"1859","taraxerone"
"1860","heitziamide A"
"1861","heitziamide B"
"1862","heitziethanoid A"
"1863","heitziethanoid B"
"1864","hesperidin"
"1865","magnoflorine"
"1866","oblongine"
"1867","tembetarine"
"1868","bocconoline"
"1869","canthin-6-one"
"1870","chelerythrine"
"1871","dictamnine"
"1872","edulinine"
"1873","gamma-fagarine"
"1874","magnoflorine"
"1875","skimmianine"
"1876","tembetarine"
"1877","Burkinabin A"
"1878","Burkinabin B"
"1879","Burkinabin C"
"1880","28-O-beta-D-glucopyranoside"
"1881","3-O-[beta-D-glucopyranosyl-(1-->2)]-beta-D-glucopyranosyl-(1-->3)-alpha-L-arabinosyl oleanolic acid"
"1882","3-O-alpha-L-arabinopyranosyl quinovic acid 28-O-beta-D-glucopyranoside"
"1883","3-O-beta-D-glucopyranosyl(1-->2)-[beta-D-glucopyranosyl(1-->3)]-alpha-L- arabino pyranosyl oleanolic acid 28-O-beta-D-glucopyranoside"
"1884","3-O-beta-D-glucopyranosyl(1-->2)-[beta-D-glucopyranosyl(1-->3)]-alpha-L- arabino pyranosyl oleanolic acid,"
"1885","3-O-beta-D-glucopyranosyl-(1-->3)-alpha-L-arabinopyranoside oleanolic acid"
"1886","3-O-beta-D-glucopyranosyl-(1-->3)-alpha-L-arabino-pyranosyl quinovic acid 28-O-beta-D-glucopyranoside"
"1887","3-O-beta-D-xylopyranosyl (1-->2)-[beta-D-glucopyranosyl (1-->3)-alpha-L-arabinopyranosyl 27-hydroxyursolic acid 28-O-beta-D-glucopyranoside"
"1888","3-O-beta-D-xylopyranosyl(1-->2)-[beta-D-glucopyranosyl (1-->3)]-alpha- L-arabinopyranosyl oleanolic acid"
"1889","3-O-beta-D-xylopyranosyl(1-->2)-[beta-D-glucopyranosyl (1-->3)]-alpha-L-arabinopyranosyl 27-hydroxyoleanolic acid"
"1890","3-O-beta-D-xylopyranosyl(1-->2)-[beta-D-glucopyranosyl(1-->3)]-alpha-L- arabinopyranosyl oleanolic acid 28-O-beta-D-glucopyranoside"
"1891","3-O-beta-D-xylopyranosyl(1-->2)-[beta-D-glucopyranosyl(1-->3)]-alpha-L- arabinopyranosyl ursolic acid 28-O-beta-D-glucopyranoside"
"1892","acacetin-7-O-rhamnoside"
"1893","kaempferol-7-O-rhamnoside"
"1894","monodesmosidic saponins"
"1895","Carotenoids"
"1896","Coumarins"
"1897","Flavone aglycones"
"1898","Flavone glycosides"
"1899","apigenin"
"1900","diosmetin"
"1901","diosmetin-7-O-beta-D-glucopyranoside"
"1902","eupatilin"
"1903","luteolin"
"1904","luteolin-7-O-(6""-O-acetyl)-beta-D-glucopyranoside"
"1905","luteolin-7-O-beta-D-glucopyranoside"
"1906","15?-methoxy-14,15-dihydrosecurinine"
"1907","secuamamine H"
"1908","securinol E"
"1909","2,7-Dimethyl-1,6-octadione"
"1910","3,4-Dimethyl styrene"
"1911","Bicyclogermacrene"
"1912","Camphene"
"1913","Carveol"
"1914","Carvone"
"1915","cis-Myrtanyl acetate"
"1916","Isopropyl cinnamate"
"1917","Limonene"
"1918","Linalool"
"1919","Myrcene"
"1920","Octyl acetate"
"1921","p-Cymene"
"1922","Perillaldehyde"
"1923","Perillyl acetate"
"1924","Piperitenone"
"1925","p-Mentha-1,5-dien-8-ol"
"1926","p-Mentha-2,8-dien-1-ol"
"1927","Spathulenol"
"1928","trans-Myrtanyl acetate"
"1929","?-Copaene"
"1930","?-Pinene"
"1931","?-Selinene"
"1932","?-Elemene"
"1933","?-Terpinene"
"1934","alpha-Pinene"
"1935","alpha-Terpinol"
"1936","beta-Cymene"
"1937","beta-Myrcene"
"1938","beta-Pinene"
"1939","gamma-Terpinene"
"1940","Limonene"
"1941","(+/-)-2-methylene-6,6-dimethyl,-bicyclo [3.1.1]-heptane"
"1942","caryophilene"
"1943","p-menth-1-en-8-ol"
"1944","1-(4-hydroxyphenyl)-ethanone"
"1945","3,4-dihydroxybenzoic acid"
"1946","4-hydroxytruxillic acid"
"1947","gallic acid"
"1948","p-hydroxycinnamic acid"
"1949","vanillic acid"
"1950","(+) -medioresinol"
"1951","(+)-pinoresinol 4,4'-O-bis-beta-D-glucopyranoside"
"1952","diosmetin"
"1953","diosmetin 7-O-beta-D-glucopyranoside"
"1954","epipinoresinol"
"1955","isorhamnetin"
"1956","isorhamnetin 3-O-alpha-L-rhamnopyranosyl-(1-6)-beta-D-glucopyranoside"
"1957","quercetin-3-O-beta-D-glucopyranoside"
"1958","rubifolic acid"
"1959","ursolic acid"
"1960","ursolic aldehyde"
"1961","applanoxidic acids A"
"1962","applanoxidic acids C"
"1963","applanoxidic acids F"
"1964","applanoxidic acids G"
"1965","applanoxidic acids H"
"1966","applanoxidic acid G"
"1967","Ganodermadiol"
"1968","lucidadiol"
"1969","1,3,5-trihydroxyxanthone"
"1970","1,5-dihydroxyxanthone"
"1971","1,6-dihydroxy-5-methoxyxanthone"
"1972","2-hydroxy-1,7-dimethoxyxanthone"
"1973","3-methoxycheffouxanthone"
"1974","cheffouxanthone"
"1975","guttiferone E"
"1976","guttiferone O"
"1977","isoxanthochymol"
"1978","smeathxanthone A"
"1979","smeathxanthone B"
"1980","1,4,5,6-tetrahydroxyxanthone"
"1981","bracteaxanthones III"
"1982","bracteaxanthones IV"
"1983","bracteaxanthones V"
"1984","bracteaxanthones VI"
"1985","cowaxanthones A"
"1986","cowaxanthones B"
"1987","cowaxanthones C"
"1988","cowaxanthones D"
"1989","cowaxanthones E"
"1990","fuscaxanthone A"
"1991","fuscaxanthone B"
"1992","fuscaxanthone C"
"1993","fuscaxanthone D"
"1994","fuscaxanthone E"
"1995","fuscaxanthone F"
"1996","fuscaxanthone G"
"1997","fuscaxanthone H"
"1998","1,3,5,6-tetrahydroxyxanthone"
"1999","1,3,6,7-tetrahydroxyxanthone"
"2000","1,7-dihydroxyxanthone"
"2001","cambogin"
"2002","guttiferone I"
"2003","hanburinone"
"2004","isomoreollin B"
"2005","morellic acid"
"2006","morellin"
"2007","moreollic acid"
"2008","garcihombronanes K"
"2009","garcihombronanes L"
"2010","garcihombronones A"
"2011","garcihombronones B"
"2012","garcihombronones C"
"2013","garcihombronones D"
"2014","1,5,6-trihydroxy-6',6'-dimethyl-2H-pyrano(2',3':3,4)-2-(3-methylbut-2-enyl)xanthone"
"2015","1,6,7-trihydroxy-6',6'-dimethyl-2H-pyrano(2',3':3,2)-4-(3-methylbut-2-enyl)xanthone"
"2016","1,3,7-trihydroxy-2-methoxyxanthone"
"2017","1-isomangostin"
"2018","3',6-dihydroxy-2,4,4'-trimethoxybenzophenone"
"2019","8-deoxygartanin"
"2020","8-hydroxycudraxanthone G"
"2021","alpha-mangostin"
"2022","cudraxanthone G"
"2023","dulxanthone D"
"2024","gamma-mangostin"
"2025","garcimangosone B"
"2026","garcimangosxanthone A"
"2027","garcimangosxanthone B"
"2028","garcimangosxanthone C"
"2029","garcinone D"
"2030","garcinone E"
"2031","gartanin"
"2032","mangostingone"
"2033","mangostinone"
"2034","mangoxanthone"
"2035","smeathxanthone A"
"2036","tovophyllin A"
"2037","1,3,5-trihydroxy-4,8-di(3-methylbut-2-enyl)-xanthone"
"2038","1,5-dihydroxy-6'-methyl-6'-(4-methyl-3-pentenyl)-pyrano(2',3':3,2)-xanthone"
"2039","6-deoxyisojacareubin"
"2040","6-deoxyjacareubin"
"2041","8-deoxygartanin"
"2042","merguenone"
"2043","morusignin G"
"2044","rheediachromenoxanthone"
"2045","rheediaxanthone A"
"2046","subelliptenone H"
"2047","4,6,3',4'-tetrahydroxy-2-methoxybenzophenone"
"2048","4,6,4'-trihydroxy-2,3'-dimethoxy-3-prenylbenzophenone"
"2049","garcinianones A"
"2050","garcinianones B"
"2051","nigrolineabenzopyran A"
"2052","nigrolineabiphenyl A"
"2053","nigrolineabiphenyls B"
"2054","nigrolineaisoflavone A"
"2055","nigrolineaquinone A"
"2056","nigrolineaxanthone A"
"2057","nigrolineaxanthone B"
"2058","nigrolineaxanthone C"
"2059","nigrolineaxanthone D"
"2060","nigrolineaxanthone E"
"2061","nigrolineaxanthone F"
"2062","nigrolineaxanthone G"
"2063","nigrolineaxanthone H"
"2064","nigrolineaxanthone I"
"2065","nigrolineaxanthone J"
"2066","nigrolineaxanthone K"
"2067","nigrolineaxanthone L"
"2068","nigrolineaxanthone M"
"2069","nigrolineaxanthone N"
"2070","nigrolineaxanthone O"
"2071","nigrolineaxanthone P"
"2072","nigrolineaxanthone Q"
"2073","nigrolineaxanthone R"
"2074","nigrolineaxanthone S"
"2075","nigrolineaxanthone T"
"2076","nigrolineaxanthone U"
"2077","nigrolineaxanthone V"
"2078","nigrolineaxanthone W"
"2079","gaudichaudione H"
"2080","oliganthin A"
"2081","oliganthin B"
"2082","oliganthin C"
"2083","oliganthin D"
"2084","parvixanthone A"
"2085","parvixanthone B"
"2086","parvixanthone C"
"2087","parvixanthone D"
"2088","parvixanthone E"
"2089","parvixanthone F"
"2090","parvixanthone G"
"2091","parvixanthone H"
"2092","parvixanthone I"
"2093","4-(1,1-dimethylprop-2-enyl)-1,3,5,8-tetrahydroxyxanthone"
"2094","cudratricusxanthone H"
"2095","friedelin"
"2096","gerontoxanthone C"
"2097","macluraxanthone C"
"2098","penangianaxanthone"
"2099","stigmasterol"
"2100","1,5-dihydroxyxanthone"
"2101","2-hydroxy-1,7-dimethoxyxanthone"
"2102","Bangangxanthone A"
"2103","Bangangxanthone B"
"2104","friedelin"
"2105","oleanolic acid"
"2106","oleanolic acid"
"2107","1,3,5,6-tetrahydroxyxanthone"
"2108","1,3,5-trihydroxyxanthone"
"2109","1,3,6,7-tetrahydroxyxanthone"
"2110","1,5-dihydroxyxanthone"
"2111","1,6-dihydroxy-5-methoxyxanthone"
"2112","polyanxanthone A"
"2113","polyanxanthone B"
"2114","polyanxanthone C"
"2115","beta-sitosterol"
"2116","chefouxanthone"
"2117","garcinane"
"2118","garciniaxanthone I"
"2119","isoxanthochymol"
"2120","magnificol"
"2121","smeathxanthone A"
"2122","smeathxanthone B"
"2123","yahyaxanthone"
"2124","scortechinone A"
"2125","scortechinone B"
"2126","scortechinone D"
"2127","scortechinone F"
"2128","scortechinone I"
"2129","scortechinone L"
"2130","scortechinone M"
"2131","scortechinone N"
"2132","scortechinone O"
"2133","scortechinone P"
"2134","scortechinone Q"
"2135","scortechinone R"
"2136","scortechinone S"
"2137","scortechinone T"
"2138","scortechinone U"
"2139","scortechinone V"
"2140","scortechinone W"
"2141","scortechinone X"
"2142","scortechinonesJ"
"2143","scortechterpene A"
"2144","scortechterpene B"
"2145","1, 2, 5-trihydroxyxanthone"
"2146","1, 7-dihydroxyxanthone"
"2147","1,4-dihydroxy-5,6-dimethoxy-xanthone"
"2148","3?,18,19?-trihydroxylupane"
"2149","6,11-dihydroxy-2,2-dimethylpyrano[3,2-c]xanthen-7(2H)-one"
"2150","6-deoxyisojacreubin"
"2151","6-desoxyjacareubin"
"2152","beta-sitosterol"
"2153","buchanaxanthone"
"2154","garcinexanthone B"
"2155","garciniaxanthone H"
"2156","methyl orsellinate"
"2157","morolic acid acetate"
"2158","subelliptenone G"
"2159","subelliptenone H"
"2160","toxyloxanthone A"
"2161","1,4,5-trihydroxyxanthone"
"2162","1,6-dihydroxyxanthone"
"2163","2-deprenylrheediaxanthone B"
"2164","6-O-methyl-2-deprenylrheediaxanthone B"
"2165","isocudraniaxanthone A"
"2166","isocudraniaxanthone B"
"2167","pancixanthone A"
"2168","vieillardixanthone"
"2169","virgataxanthone A"
"2170","virgataxanthone B"
"2171","1,2,5-trihydroxy-6-methoxyxanthone"
"2172","1,2,6-trihydroxy-5-methoxy-7-(3-methylbut-2-enyl)xanthone"
"2173","1,2,7-trihydroxy-4-(1,1-dimethylallyl) xanthone"
"2174","1,3,5,6-tetrahydroxy-4,7,8-tri(3-methyl-2-butenyl)xanthone"
"2175","1,3,5,6-tetrahydroxy-4,7,8-tri(3-methylbut-2-enyl)xanthone"
"2176","1,4,5,6-tetrahydroxy-7-(3-methylbut-2-enyl)xanthone"
"2177","1,4,5,6-tetrahydroxy-7,8-di(3-methylbut-2-enyl)xanthone"
"2178","1,4,5,6-tetrahydroxy-7,8-di(3-methylbut-2-enyl)xanthone"
"2179","1,4,6-trihydroxy-5-methoxy-7-(3-methylbut-2-enyl)xanthone"
"2180","1,4,6-trihydroxy-5-methoxyxanthone"
"2181","1,5,6-trihydroxy-7,8-di(3-methylbut-2-enyl)-6',6'dimethylpyrano(2',3':3,4)xanthone"
"2182","12b-hydroxy-des-D-garcigerrin A"
"2183","garcinenones X"
"2184","garcinenones Y"
"2185","garciniaxanthone E"
"2186","(-)-epicatechin"
"2187","2""-O-acetylvitexin"
"2188","3-acetoxyoleanolic acid"
"2189","bannaxanthone E"
"2190","bannaxanthone E"
"2191","bannaxanthone I"
"2192","beta-sitosterol"
"2193","cycloxanthochymol"
"2194","daucosterol"
"2195","garcinone E"
"2196","gentisein"
"2197","isoxanthochymol"
"2198","kaempferol"
"2199","mangostinone"
"2200","mangostinone"
"2201","osajaxanthone"
"2202","quercetin"
"2203","tovophyllin A"
"2204","vitexin"
"2205","xanthochymol"
"2206","?-mangostin"
"2207","parvifloranine A"
"2208","parvifloranine B"
"2209","14alpha-hydroxyelegansamine"
"2210","14alpha-hydroxygelsamydine"
"2211","gelsebamine"
"2212","gelsebanine"
"2213","alpinumisoflavone"
"2214","apigenin"
"2215","genistein"
"2216","genistein 8-C-glucoside"
"2217","genistin"
"2218","isokaempferide"
"2219","isoprunetin"
"2220","laburnetin"
"2221","licoflavone C"
"2222","wighteone"
"2223","beta-sitosterol"
"2224","daucosterol"
"2225","gentiopicroside"
"2226","oleanolic acid"
"2227","roburic acid"
"2228","sweroside"
"2229","swertiamarine"
"2230","2',3',6'-tri-O-acetyl-4'-O-trans-p-(O-beta-d-glucopyranosyl)coumaroyl-7-ketologanin"
"2231","2'-O-caffeoylloganic acid"
"2232","2'-O-cis-p-coumaroylloganic acid"
"2233","2'-O-p-hydroxybenzoylloganic acid"
"2234","2'-O-trans-p-coumaroylloganic acid"
"2235","7-ketologanin"
"2236","boonein"
"2237","isoboonein"
"2238","loganic acid"
"2239","loganin"
"2240","sweroside"
"2241","5-carboxyl-3,4-dihydrogen-1H-2-benzopyran-1-one"
"2242","6'-O-beta-D-glucosylgentiopicroside"
"2243","erythrocentauric acid"
"2244","gentiopicroside"
"2245","oleanolic acid"
"2246","roburic acid"
"2247","sweroside"
"2248","swertiamarine"
"2249","gentimacroside"
"2250","1,2-dihydroxy-4,6-dimethoxybenzene 1-O-?-L-rhamnopyranosyl-(1?6)-?-D-glucopyranoside"
"2251","1,2-dihydroxy-4-methoxybenzene 1-O-?-L-rhamnopyranosyl-(1?6)-?-D-glucopyranoside"
"2252","1,3,6,7-tetrahydroxylxanthone"
"2253","1,3,7,8-tetrahydroxylxanthone"
"2254","1,3,7-trihydroxy-4,8-dimethoxyxanthone"
"2255","2alpha-hydroxyursolic acid"
"2256","2'-O-(3''-hydroxybenzoyl)-8-epikingiside"
"2257","2'-O-(3''-hydroxybenzoyl)-kingiside"
"2258","6'-O-beta-d-glucopyranosyl loganic acid"
"2259","6'-O-beta-glucopyranosyl secologanol"
"2260","6'-O-beta-glucopyranosyl secologanoside"
"2261","6'-O-p-coumaroyl-8-epikingiside"
"2262","8-epikingiside"
"2263","alpha-amyrin"
"2264","alpigenoside"
"2265","apigenin 7-O-glucopyranosyl-(1?3)-glucopyranosyl-(1?3)-glucopyranoside"
"2266","erythrodiol 3-O-palmitate"
"2267","gallic acid ethyl ester"
"2268","isoorientin"
"2269","kingiside"
"2270","loganic acid"
"2271","loganic acid 11-O-beta-glucopyranosyl ester"
"2272","mangiferin"
"2273","methyl 2-O-?-D-glucopyranosyl-2,4,6-trihydroxybenzoate"
"2274","norswertianolin"
"2275","quercetin"
"2276","rhodanthenone A"
"2277","rhodanthenone B"
"2278","rhodanthenone C"
"2279","rhodanthenone D"
"2280","rhodanthenone D"
"2281","salicylic acid"
"2282","secologanoside"
"2283","secoxyloganin"
"2284","ursolic acid"
"2285","ursolic aldehyde"
"2286","uvaol 3-O-acetyl"
"2287","1-O-beta-d-glucopyranosyl-4-epiamplexine"
"2288","6beta-hydroxyswertiajaposide A"
"2289","gentiascabraside A"
"2290","scabran G3"
"2291","scabran G4"
"2292","scabran G5"
"2293","swertiajaposide A"
"2294","4'''-O-beta-D-glucopyranosylscabraside"
"2295","4'''-O-beta-D-glucopyranosyltrifloroside"
"2296","bellidifolin"
"2297","bellidin"
"2298","corymbiferin 1-O-glucoside"
"2299","corymbiferin 3-O-beta-D-glucopyranoside"
"2300","norswertianolin"
"2301","swertiabisxanthone-I"
"2302","swertiabisxanthone-I 8'-O-beta- d-glucopyranoside"
"2303","swertianolin"
"2304","triptexanthoside C"
"2305","veratriloside"
"2306","1, 8-dihydroxy-3, 7-dimethoxyxanthone"
"2307","1,7,8-trihydroxy-3-methoxyxanthone"
"2308","1,7-dihydroxy-3,8-dimethoxyxanthone"
"2309","1,7-dihydroxy-3,8-dimethoxyxanthone"
"2310","1,8-dihydroxy-2,6-dimethoxyxanthone"
"2311","1-hydroxy-3, 7, 8-trimethoxyxanthone"
"2312","1-hydroxy-3, 7-dimethoxyxanthone"
"2313","1-hydroxy-3,7,8-trimethoxyxanthone"
"2314","4',5,7-trihydroxyflavone"
"2315","beta-sitosterol"
"2316","daucosterol"
"2317","luteolin-7-O-glucoside"
"2318","oleanolic acid"
"2319","beta-sitosterol"
"2320","bothrioclinin"
"2321","hydroquinone"
"2322","isoarborinol"
"2323","marmesin"
"2324","succinic acid"
"2325","umbelliferone"
"2326","Alkaloids"
"2327","alpha-allocryptopine"
"2328","dicentrine"
"2329","glaucine"
"2330","protopine"
"2331","acuminaminoside"
"2332","glochidacuminoside A"
"2333","glochidacuminoside B"
"2334","glochidacuminoside C"
"2335","glochidacuminoside D"
"2336","Glochidiolide"
"2337","isoglochidiolide"
"2338","glochidionionoside A"
"2339","glochidionionoside B"
"2340","glochidionionoside C"
"2341","glochidionionoside D"
"2342","glochidionolactone A"
"2343","glochidionolactone B"
"2344","glochidionolactone C"
"2345","glochidionolactone D"
"2346","glochidionolactone E"
"2347","glochidionolactone F"
"2348","glochiflavanoside A"
"2349","glochiflavanoside B"
"2350","glochiflavanoside C"
"2351","glochiflavanoside D"
"2352","isoorientin"
"2353","vitexin"
"2354","blumenol C O-beta-D-glucopyranoside"
"2355","1-methoxyphaseollin"
"2356","glucoliquiritin apioside"
"2357","glycyrdione A"
"2358","glyinflanin B"
"2359","kanzonol Y"
"2360","licoagroaurone"
"2361","licoagrochalcone B"
"2362","licoagrochalcone C"
"2363","licoagrochalcone D"
"2364","licoagroside A"
"2365","licoagroside B"
"2366","licochalcone C"
"2367","prenyllicoflavone A"
"2368","shinflavone"
"2369","shinpterocarpin"
"2370","5-hydroxy-3-amino-2-aceto-1,4-naphthoquinone"
"2371","dielsiquinone"
"2372","marcanine A"
"2373","marcanine B"
"2374","marcanine C"
"2375","marcanine D"
"2376","marcanine E"
"2377","beta-sitosterol"
"2378","eatechin"
"2379","epi-friedelan-3-ol"
"2380","friedelin"
"2381","heneicosanoic acid"
"2382","Propyl palmitate"
"2383","15-dien-2alpha-ol"
"2384","cycloarta-23,25-dien-3-one"
"2385","Guai-6-en-10beta-ol"
"2386","isopimara-7"
"2387","23-hydroxy-5alpha-lanosta 7,9(11),24-triene-3-one"
"2388","5alpha-lanosta-7,9(11),24-triene-3alpha,23-diol"
"2389","ent-8(14),15-sandaracopimaradiene-2alpha,18-diol"
"2390","ent8(14),15-sandaracopimaradiene-2beta,18-diol"
"2391","apigenin"
"2392","beta-sitosterol"
"2393","daucosterol"
"2394","D-fructose"
"2395","n-hexadecanioc acid"
"2396","gynostemoside A"
"2397","gynostemoside B"
"2398","gynostemoside C"
"2399","gynostemoside D"
"2400","gynostemoside E"
"2401","2, 3, 4, 5, 7-pentamethoxy-1-O-primeverosyloxyxanthone"
"2402","2, 3, 4, 7-tetramethoxy-1-O-primeverosyloxyxanthone"
"2403","2, 3, 5, 7-tetramethoxy-1-O-primeverosyloxyxanthone"
"2404","2, 3, 7-trimethoxy-1-O-primeverosyloxyxanthone"
"2405","2,3,5-trimethoxy-1-O-primeverosyloxyxanthone"
"2406","2,3,5-trimethoxy-1-O-primeverosyloxyxanthone"
"2407","Alkaloides"
"2408","cis-hexadec-11-en-7,9-diynoic acid"
"2409","cis-octadec-12-en-7,9-diynoic acid"
"2410","octadeca-8,10,12-triynoic acid"
"2411","pentadeca-6,8,10-triynoic acid"
"2412","trans-pentadec-10-en-6,8-diynoic acid"
"2413","proanthocyanidins"
"2414","4, 5-dimethoxy-1, 2-benzoquinone"
"2415","alpha-amyrin"
"2416","cinnamic acid"
"2417","friedelin"
"2418","gult-5-en-3beta-ol"
"2419","luteolin-7-O-beta-D-glucoside"
"2420","2-methoxy-obtusifolin"
"2421","aloe-emodin"
"2422","chrysophanol"
"2423","hemerocallin"
"2424","hemerocallone"
"2425","obtusifolin"
"2426","rhein"
"2427","Alkaloids"
"2428","(E)-caryophyllene"
"2429","(Z)-3-octenyl acetate"
"2430","caryophyllene oxide"
"2431","elemicine"
"2432","octyl acetate"
"2433","terpinolene"
"2434","alpha-pinene"
"2435","bornyl acetate"
"2436","gamma-terpinene"
"2437","limonene"
"2438","octyl acetate"
"2439","rho-cymene"
"2440","(7R,8S)-dehydroconiferyl alcohol-8,5'-dehydroconiferyl aldehyde-9-O-beta-D-glucopyranoside"
"2441",",(7S,8R)-dihydro-dehydrodiconiferyl alcohol-9-O-beta-D-glucopyranoside"
"2442","beta-sitosterol"
"2443","Isokaempferide-7-O-beta-D-glucopyranoside"
"2444","Pectolinarin"
"2445","Quercetin-3-O-beta-D-gluco-pyranoside"
"2446","rutin"
"2447","Sucrose"
"2448","5-hydroxymethyl furaldehyde"
"2449","beta-sitosterol"
"2450","daucosterol"
"2451","glycerol monopalmitate"
"2452","hergapen"
"2453","hexacosanoic acid"
"2454","liquiritigenin"
"2455","ursolic acid"
"2456","lignans"
"2457","coumarins"
"2458","glycosides"
"2459","reducing sugars"
"2460","sterols"
"2461","ismine"
"2462","O-methylismine"
"2463","vittacarboline"
"2464","19-alpha-hydroxyursolic acid"
"2465","1-O-hexadecanolenin"
"2466","2-O-caffeoyl maslinic acid"
"2467","2-O-trans-p-coumaroyl maslinic acid"
"2468","3-O-caffeoyl oleanolic acid"
"2469","3-O-trans-p-coumaroyl oleanolic acid"
"2470","5-hydroxymethyl-2-furancarbox-aldehyde"
"2471","6-methoxy-2H-1-benzopyran"
"2472","beta-sitosterol"
"2473","cirsiumaldehyde"
"2474","dulcioic acid"
"2475","hippophae cerebroside"
"2476","octacosanoic acid"
"2477","oleanolic acid"
"2478","oleanolic acid"
"2479","palmitic acid"
"2480","ursolic acid"
"2481","hippophin C"
"2482","hippophin D"
"2483","hippophin E"
"2484","hippophin F"
"2485","hippophins K"
"2486","hippophins L"
"2487","hippophins M"
"2488","alkaloids"
"2489","Alkaloids"
"2490","betulinic acid"
"2491","oroxindin"
"2492","wogonin"
"2493","linalool"
"2494","M-cymene"
"2495","spatulenol"
"2496","terpene-4-ol"
"2497","T-muurolol"
"2498","viridiflorol"
"2499","?-cadinol"
"2500","?-selinene"
"2501","?-Muurolene"
"2502","?-cadinene"
"2503","(1H)-quinolinone"
"2504","(E)-4-Hydroxy-4-[3'-(beta-D-glucopyranosyloxy) butylidene]-3, 5, 5-trimethyl-2-cyclohexen-1-one"
"2505","2-(3, 4-dihydroxyphenyl) ethyl-beta-D-glucopyranoside"
"2506","3,4-dimethoxy-N-methyl aristolactam"
"2507","4-(beta-D-glucopyranosyloxy)-3-hydroxy-Benzoic acid"
"2508","4-hydroxy-3-methoxybenzamide"
"2509","4-hydroxybenzamide"
"2510","6-(9-hydroxy-but-7-ethyl)-1,1,5-trimethylcyclohexane-3,5,6-triol"
"2511","6,7-dimethyl-1-ribitol-1-yl-1,4-dihydroquinoxaline-2,3-dione"
"2512","7-(3,5,6-trihydroxy-2,6,6-trimethylcyclohexyl)-byt-3-en-2-one"
"2513","afzelin"
"2514","aristolactam A"
"2515","aristolactam A II"
"2516","aristolactam B"
"2517","aristolactam B II"
"2518","benzamide"
"2519","benzyl-b-D-glucopyranoside"
"2520","b-sitosterol"
"2521","b-sitosteryl glucoside"
"2522","cepharadione B"
"2523","Cepharadione B"
"2524","chlorogenic methyl ester"
"2525","Cis-methyl ferulate"
"2526","dehydrovomifoliol"
"2527","Houttuynoids A"
"2528","Houttuynoids B"
"2529","Houttuynoids C"
"2530","Houttuynoids D"
"2531","Houttuynoids E"
"2532","houttuynoside A"
"2533","houttuynoside B"
"2534","hyperoside"
"2535","hyperoside"
"2536","indole-3-carboxylic acid"
"2537","lysicamine"
"2538","methyl vanillate"
"2539","methylparaben"
"2540","N-(1-hydroxymethyl-2-phenylethyl)benzamide"
"2541","N-(4-hy-droxyphenylethyl)benzamide"
"2542","noraritolodione"
"2543","norcepharadione B"
"2544","norcepharadione B"
"2545","p-hydroxybenzaldehyde"
"2546","p-hydroxyphenethyl-beta-D-glucoside"
"2547","piperolactam A"
"2548","piperolactam A"
"2549","protocatechuic acid"
"2550","quercetin"
"2551","quercetin"
"2552","quercetin-3-O-b-D-galactopyranoside"
"2553","quercetin-3-O-beta-D-galactopyranoside"
"2554","quercitrin"
"2555","quercitrin"
"2556","quercitrin"
"2557","reseoside"
"2558","rutin"
"2559","splendidine"
"2560","splendidine"
"2561","trans-methyl ferulate"
"2562","vanillic acid"
